profile,primary_dim,shape_param,thickness,coating_type,z_offset,xy_offset_x,xy_offset_y,mass,mean_deflection_deg,hit_ratio,wafer_flux_m2s,wake_intrusion_ratio,wake_type
cap,3.9526335963509354,1.9062750366702825,0.001896355556327047,diffuse,-1.2213977852062028,0.005810835903889047,0.04110413032154685,8.853037007333079,59.827298316145935,0.0,0.0,0.4357,WakeCone
cupola,2.3715705345440297,1.0,0.0016362351404427015,specular,-1.350892271780769,0.028701202436816772,-0.006594844639862464,369.214810864792,101.25568393531107,0.0139,5.852491221197621e+18,0.6736,WakeCone
cupola,1.5282151838563802,1.0,0.0020729831292058466,specular,-1.233646661087485,0.03360978819604758,0.013427760667410998,194.23437632049578,101.41876306310574,0.0076,1.33278537451488e+18,0.5672,WakeCone
flat,4.875926934241088,0.0,0.0017470703564234102,diffuse,-1.1568748119266754,0.014780053023695741,0.010587024340036853,352.32090258896136,45.537049466058406,0.0,0.0,0.3031,WakeCone
pyramid,1.0715446709294238,1.4880602619178163,0.0027979624629412515,diffuse,-1.0551669349703665,-0.04270960964403642,-0.037203728439135886,62.205814639365244,53.12889179449048,0.0,0.0,0.1314,PyramidWake
cupola,4.081873770327496,1.0,0.002094676724992822,diffuse,-1.1887591442758383,0.01547615745086453,0.009120061644082092,1400.2237981800836,61.352966999279595,0.0051,6.363076053186149e+18,0.3068,WakeCone
cap,1.0882526355335123,2.6395438933361257,0.0018213324706981794,diffuse,-1.307258478688098,-0.046657955069944995,0.03766223921518448,4.434810693923469,59.584982335451556,0.0,0.0,0.3668,WakeCone
flat,3.730567007382399,0.0,0.0018208984259032032,diffuse,-1.4409744020995632,0.0321059335404309,0.015524445509637844,214.9557404075064,45.38615352830938,0.0,0.0,0.3075,WakeCone
pyramid,1.2012180607486056,1.0366551847264307,0.0021092551189786477,diffuse,-1.249023045805148,0.039814234131819545,0.0024754193301815275,47.34448642936327,57.24180588991252,0.0,0.0,0.1256,PyramidWake
cupola,3.729951819299849,1.0,0.002598308241996623,diffuse,-1.1947583887239261,0.02873515685734565,0.010871448920641368,1450.3019198364298,61.15652193021107,0.0047,4.897843768736027e+18,0.2877,WakeCone
cap,3.194108511234103,2.1111606751493133,0.0026759548326768102,diffuse,-1.3464571423735667,-0.014728598323332467,-0.017414354132903653,10.185440965858273,59.93759586172817,0.0,0.0,0.4192,WakeCone
flat,2.882230893281255,0.0,0.0016933724832605282,specular,-1.3153413896752613,0.005351732689942809,-0.03213728488374423,119.32286513729994,13.027290525683332,0.0,0.0,0.3033,WakeCone
cap,2.8570617783122256,2.509250420835966,0.0019902152045168132,specular,-1.4150887883898768,-0.019064102221519365,0.034674569249584036,5.362356223526252,89.67873438420995,0.0,0.0,0.6604,WakeCone
